date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:39:04	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2027%20May%202025%2009:09:04%20GMT	http://localhost:5121/robots.txt		(from )
14:39:06	56886/56886	---MC-	200	added ('OK')	text/html	date:Tue,%2027%20May%202025%2009:09:04%20GMT	http://localhost:5121/	D:/Freelance/MedoCard/localhost_5121/index.html	(from )
14:39:06	162720/162720	---M--	200	added ('OK')	text/css	etag:%221dbcee4e48c8aa0%22	http://localhost:5121/lib/bootstrap/dist/css/bootstrap.min.css	D:/Freelance/MedoCard/localhost_5121/lib/bootstrap/dist/css/bootstrap.min.css	(from http://localhost:5121/)
14:39:07	85875/85875	---M-Z	200	added ('OK')	text/css	etag:W/%2214f73-BDozLk9VXMC/015FG+lVtLk5ZqA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css	D:/Freelance/MedoCard/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css	(from http://localhost:5121/)
14:39:08	6808/6808	---M--	200	added ('OK')	text/css	etag:%221dbcee4e2c53718%22	http://localhost:5121/css/site.css?v=HO4U8pVv1s8xSpXlTnVX8zeioqGSm-VSHQg67yWNGkQ	D:/Freelance/MedoCard/localhost_5121/css/site224e.css	(from http://localhost:5121/)
14:39:08	15582/15582	---M--	200	added ('OK')	text/css	etag:%221dbcee4e2c5115e%22	http://localhost:5121/css/navbar-footer.css?v=NWn-1yscq8aK4w3n2kUIp-P_NRxOHQ-Ab3ZWstl1AvA	D:/Freelance/MedoCard/localhost_5121/css/navbar-footer1287.css	(from http://localhost:5121/)
14:39:08	102526/102526	---M-Z	200	added ('OK')	text/css	etag:%22656632a7-54f3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	D:/Freelance/MedoCard/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	(from http://localhost:5121/)
14:39:09	43325/43325	---M--	200	added ('OK')	text/css	etag:%221dbcee4e2c584bd%22	http://localhost:5121/css/homepage.css?v=grgIaMrrsbS3amfV_bUQkFawhUZKhE2CITZ7ndzn1A8	D:/Freelance/MedoCard/localhost_5121/css/homepage885b.css	(from http://localhost:5121/)
14:39:10	19673/19673	---M--	200	added ('OK')	text/css	etag:%221dbcee4e2c56159%22	http://localhost:5121/css/diagnostics.css?v=Q9siUSGTSpuYr4IY5C97oMEjkA1oa8uv8EqT-ngTQ2o	D:/Freelance/MedoCard/localhost_5121/css/diagnostics0076.css	(from http://localhost:5121/)
14:39:10	19737/19737	---M--	200	added ('OK')	text/css	etag:%221dbcee4e2c56099%22	http://localhost:5121/css/membership.css?v=3LSQvFy2ut5gDQY0SW_tJ6gPrlJerm3YZ6BaXy_3oAQ	D:/Freelance/MedoCard/localhost_5121/css/membership278c.css	(from http://localhost:5121/)
14:39:11	34784/34784	---M--	200	added ('OK')	text/css	etag:%221dbcee4e2c5aa60%22	http://localhost:5121/css/offers.css?v=FKkuP4F5y3Stxbzwit6mM_InpOOU6cx9PhaSmlE78iM	D:/Freelance/MedoCard/localhost_5121/css/offers1ca2.css	(from http://localhost:5121/)
14:39:12	10381/10381	---M--	200	added ('OK')	text/css	etag:%221dbcee4e2c5050d%22	http://localhost:5121/css/opd.css?v=Ml9JUxh8P-stvHUUBn45n_FBw8x1xarEtFJaewBKMEA	D:/Freelance/MedoCard/localhost_5121/css/opd9c39.css	(from http://localhost:5121/)
14:39:12	5771/5771	---M--	200	added ('OK')	text/css	etag:%221dbcee4e2c53b0b%22	http://localhost:5121/css/pharmacy.css?v=3I2imht_sFyiU9Lce9Mnbbi8s9vDu4Ga205FsNa6lzU	D:/Freelance/MedoCard/localhost_5121/css/pharmacy1cbb.css	(from http://localhost:5121/)
14:39:13	1999/1999	---M--	200	added ('OK')	text/css	etag:%221dbcee4e2c52a4f%22	http://localhost:5121/css/pharmacy-steps.css?v=WwJNk4y96jOZZEpJATeXrfuU4EsboB5TP6Qo_UDXZAc	D:/Freelance/MedoCard/localhost_5121/css/pharmacy-stepsc896.css	(from http://localhost:5121/)
14:39:13	7201/7201	---M--	200	added ('OK')	text/css	etag:%221dbcee4e2c531a1%22	http://localhost:5121/css/hospitals.css?v=S0yzu9CSebyax7SizX1d1rx8C8f0TZd04RpMtEOywRE	D:/Freelance/MedoCard/localhost_5121/css/hospitals5f63.css	(from http://localhost:5121/)
14:39:13	1149/1149	---M--	200	added ('OK')	text/css	etag:%221dbcee4e2c529fd%22	http://localhost:5121/css/form-styles.css?v=zSAznF140rYcoTXwiAallK5gfUGB-VZGQL5zlOPTsJc	D:/Freelance/MedoCard/localhost_5121/css/form-styles8a13.css	(from http://localhost:5121/)
14:39:13	12686/12686	---M--	200	added ('OK')	text/css	etag:%221dbcee4e2c51c0e%22	http://localhost:5121/css/payment.css?v=UCYk3iwqqX5W-Yi1G0g64c9kO3HQ5mHH7HOkLoNJ27s	D:/Freelance/MedoCard/localhost_5121/css/payment74ef.css	(from http://localhost:5121/)
14:39:13	4405/4405	---M--	200	added ('OK')	text/css	etag:%221dbcee4e2c53cb5%22	http://localhost:5121/css/membership-card.css?v=OxEHaafmd6dRia_Nj4k-Pnj_pMPtI3syy_2E65R656I	D:/Freelance/MedoCard/localhost_5121/css/membership-cardc6be.css	(from http://localhost:5121/)
14:39:14	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2027%20May%202025%2009:09:13%20GMT	http://localhost:5121/css/navbar-toggle-fix.css	D:/Freelance/MedoCard/localhost_5121/css/navbar-toggle-fix.10.delayed	(from http://localhost:5121/)
14:39:14	8255/8255	---M--	200	added ('OK')	text/css	etag:%221dbcee4e2c50dbf%22	http://localhost:5121/css/mobile-menu.css?v=p4MnaAuXFpNys3AG04iB5aLCbvv4A-mY2_X2xe5iaGk	D:/Freelance/MedoCard/localhost_5121/css/mobile-menu4616.css	(from http://localhost:5121/)
14:39:14	2316/2316	---M--	200	added ('OK')	text/css	etag:%221dbcee4e2c5248c%22	http://localhost:5121/css/desktop-navbar.css?v=g0YoDaVHWq81kNpZbEqnO5fJcuF2R9YHdGKBIxqOYB4	D:/Freelance/MedoCard/localhost_5121/css/desktop-navbare91c.css	(from http://localhost:5121/)
14:39:14	1144/1144	---M--	200	added ('OK')	text/css	etag:%221dbcee4e22c9378%22	http://localhost:5121/RxMedoWeb.styles.css?v=N9Re2D58oUQbSd4-jRhQLvwzv_lN0Gc1E-wUmfruPf4	D:/Freelance/MedoCard/localhost_5121/RxMedoWeb.styles62d4.css	(from http://localhost:5121/)
14:39:15	26053/26053	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Apr%202025%2017:16:11%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.css	D:/Freelance/MedoCard/unpkg.com/aos@2.3.1/dist/aos.css	(from http://localhost:5121/)
14:39:17	32718/32718	---MC-	200	added ('OK')	text/html	date:Tue,%2027%20May%202025%2009:09:16%20GMT	http://localhost:5121/Offers	D:/Freelance/MedoCard/localhost_5121/Offers.html	(from http://localhost:5121/)
14:39:21	36586/36586	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2027%20May%202025%2009:09:20%20GMT	http://localhost:5121/Hospitals	D:/Freelance/MedoCard/localhost_5121/Hospitals.18.delayed	(from http://localhost:5121/)
14:39:24	26268/26268	---MC-	200	added ('OK')	text/html	date:Tue,%2027%20May%202025%2009:09:21%20GMT	http://localhost:5121/OPD	D:/Freelance/MedoCard/localhost_5121/OPD.html	(from http://localhost:5121/)
14:39:24	21455/21455	---MC-	200	added ('OK')	text/html	date:Tue,%2027%20May%202025%2009:09:21%20GMT	http://localhost:5121/Pharmacy	D:/Freelance/MedoCard/localhost_5121/Pharmacy.html	(from http://localhost:5121/)
14:39:28	190350/190350	---M--	200	added ('OK')	text/javascript	etag:16106391236132000467	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-8504842908769623	D:/Freelance/MedoCard/pagead2.googlesyndication.com/pagead/js/fc761.txt	(from http://localhost:5121/)
14:39:29	36099/36099	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2027%20May%202025%2009:09:27%20GMT	http://localhost:5121/Diagnostics	D:/Freelance/MedoCard/localhost_5121/Diagnostics.1b.delayed	(from http://localhost:5121/)
14:39:35	36097/36097	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2027%20May%202025%2009:09:33%20GMT	http://localhost:5121/Membership	D:/Freelance/MedoCard/localhost_5121/Membership.1c.delayed	(from http://localhost:5121/)
14:39:52	381738/381738	---M--	200	added ('OK')	image/png	etag:%221dbcee4e3f389aa%22	http://localhost:5121/images/logo.png	D:/Freelance/MedoCard/localhost_5121/images/logo.png	(from http://localhost:5121/)
14:39:59	37410/37410	---M--	200	added ('OK')	image/jpeg	etag:%221dbcee4e48e6322%22	http://localhost:5121/images/testimonials6.jpg	D:/Freelance/MedoCard/localhost_5121/images/testimonials6.jpg	(from http://localhost:5121/)
14:40:08	58297/58297	---M--	200	added ('OK')	image/jpeg	etag:%221dbcee4e48e12b9%22	http://localhost:5121/images/testimonials2.jpg	D:/Freelance/MedoCard/localhost_5121/images/testimonials2.jpg	(from http://localhost:5121/)
14:40:14	32254/32254	---M--	200	added ('OK')	image/jpeg	etag:%221dbcee4e48e8cfe%22	http://localhost:5121/images/testimonials.jpg	D:/Freelance/MedoCard/localhost_5121/images/testimonials.jpg	(from http://localhost:5121/)
14:40:56	258116/258116	---M--	200	added ('OK')	image/jpeg	etag:%221dbcee4e48d0144%22	http://localhost:5121/images/testimonials5.jpg	D:/Freelance/MedoCard/localhost_5121/images/testimonials5.jpg	(from http://localhost:5121/)
14:41:11	89501/89501	---M--	200	added ('OK')	text/javascript	etag:%221dbcee4e526da1d%22	http://localhost:5121/lib/jquery/dist/jquery.min.js	D:/Freelance/MedoCard/localhost_5121/lib/jquery/dist/jquery.min.js	(from http://localhost:5121/)
14:41:24	78468/78468	---M--	200	added ('OK')	text/javascript	etag:%221dbcee4e48fc384%22	http://localhost:5121/lib/bootstrap/dist/js/bootstrap.bundle.min.js	D:/Freelance/MedoCard/localhost_5121/lib/bootstrap/dist/js/bootstrap.bundle.min.js	(from http://localhost:5121/)
14:41:25	4744/4744	---M--	200	added ('OK')	text/javascript	etag:%221dbcee4e48ee388%22	http://localhost:5121/js/site.js?v=3mhbb32mML9fvJL9BlFT134NRMU0vqwPRnZEDt880_E	D:/Freelance/MedoCard/localhost_5121/js/site3d49.js	(from http://localhost:5121/)
14:41:26	5107/5107	---M--	200	added ('OK')	text/javascript	etag:%221dbcee4e48ee2f3%22	http://localhost:5121/js/navbar-active.js?v=dGPriXiIAjlcajsO9YP960In1CeOdTqoMQj1hIvVDHA	D:/Freelance/MedoCard/localhost_5121/js/navbar-active8e7c.js	(from http://localhost:5121/)
14:41:26	0/0	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2027%20May%202025%2009:11:26%20GMT	http://localhost:5121/js/navbar-toggle-fix.js	D:/Freelance/MedoCard/localhost_5121/js/navbar-toggle-fix.28.delayed	(from http://localhost:5121/)
